songName,artistName,songID,artistID,year,genres,audio
ARRANCARMELO,WOS,2x8oBuYaObjqHqgGuIUZ0b,5YCc6xS5Gpj3EkaYGdjyNK,20,"['argentine indie', 'trap argentino']","[{'danceability': 0.654, 'energy': 0.354, 'key': 5, 'loudness': -7.358, 'speechiness': 0.0738, 'acousticness': 0.724, 'instrumentalness': 0, 'liveness': 0.134, 'valence': 0.262, 'tempo': 81.956}]"
Rebel Rebel - 2016 Remaster,David Bowie,2EC9IJj7g0mN1Q5VrZkiYY,0oSGxfWSnnOXhD2fKuz2Gy,70,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']","[{'danceability': 0.635, 'energy': 0.686, 'key': 9, 'loudness': -15.648, 'speechiness': 0.053, 'acousticness': 0.209, 'instrumentalness': 0.0176, 'liveness': 0.282, 'valence': 0.464, 'tempo': 125.988}]"
Changes - 2015 Remaster,David Bowie,0LrwgdLsFaWh9VXIjBRe8t,0oSGxfWSnnOXhD2fKuz2Gy,70,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']","[{'danceability': 0.547, 'energy': 0.308, 'key': 0, 'loudness': -11.75, 'speechiness': 0.0377, 'acousticness': 0.505, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.41, 'tempo': 114.719}]"
"War, What Is It Good For?",Ugly Rumours,1upkbI74IzVmJFlLRxoaDY,5awynhxyYFdWMhjY0P7Eld,00,[],"[{'danceability': 0.711, 'energy': 0.6, 'key': 3, 'loudness': -7.346, 'speechiness': 0.223, 'acousticness': 0.289, 'instrumentalness': 0, 'liveness': 0.61, 'valence': 0.43, 'tempo': 110.145}]"
Se Acabo (feat. Method Man) - Remix,The Beatnuts,4F3AZKEJubvPsl0hBArVBW,5ynvmGwc83ZoRx2EIWHXLX,00,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop']","[{'danceability': 0.935, 'energy': 0.519, 'key': 6, 'loudness': -6.482, 'speechiness': 0.31, 'acousticness': 0.156, 'instrumentalness': 0, 'liveness': 0.425, 'valence': 0.884, 'tempo': 96.97}]"
"Shook Ones, Pt. II",Mobb Deep,7sFRVhCuyyc0CJNHUMucTP,6O2zJ0tId7g07yzHtX0yap,20,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']","[{'danceability': 0.763, 'energy': 0.785, 'key': 10, 'loudness': -6.472, 'speechiness': 0.23, 'acousticness': 0.0146, 'instrumentalness': 0.0113, 'liveness': 0.0817, 'valence': 0.506, 'tempo': 93.857}]"
Where The Hood At,DMX,6RUpJeXT6U4SPEafnr9Wr7,1HwM5zlC5qNWhJtM00yXzG,00,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']","[{'danceability': 0.537, 'energy': 0.948, 'key': 8, 'loudness': -3.063, 'speechiness': 0.355, 'acousticness': 0.151, 'instrumentalness': 0, 'liveness': 0.356, 'valence': 0.792, 'tempo': 186.151}]"
How Bad Can I Be?,Ed Helms,4l1R5g85v3bUA1bSSbzg6w,4frIPWBfpZWw7REcjGAkJF,10,[],"[{'danceability': 0.795, 'energy': 0.866, 'key': 9, 'loudness': -5.378, 'speechiness': 0.138, 'acousticness': 0.0708, 'instrumentalness': 0, 'liveness': 0.0623, 'valence': 0.76, 'tempo': 97.992}]"
The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS,Eminem,12aZLwY2ZTBKZxrEq0MVjw,7dGJo4pcD2V6oG8kP0tJRR,20,"['detroit hip hop', 'hip hop', 'rap']","[{'danceability': 0.807, 'energy': 0.701, 'key': 11, 'loudness': -10.663, 'speechiness': 0.261, 'acousticness': 0.0355, 'instrumentalness': 0, 'liveness': 0.066, 'valence': 0.656, 'tempo': 93.042}]"
Headlights (feat. Nate Ruess),Eminem,6hBGIHTjFq48UkjeloBDAs,7dGJo4pcD2V6oG8kP0tJRR,20,"['detroit hip hop', 'hip hop', 'rap']","[{'danceability': 0.687, 'energy': 0.775, 'key': 11, 'loudness': -3.658, 'speechiness': 0.156, 'acousticness': 0.15, 'instrumentalness': 0, 'liveness': 0.511, 'valence': 0.487, 'tempo': 146.726}]"
