id,name,songs
6C4yW0laVEgB7zLIYTmi4D,german soundtrack,15.0
1U5ppQl8yokd9FcfRkHJed,soundtrack,57.0
2BjrPetGeyAJQmKSKTqCeg,video game music,30.0
2aqsevyoHcDqBprmsJhjaN,orchestral soundtrack,47.0
7fiNQbFxDFeRYUONDMV1zC,scorecore,13.0
3tSrCDfYd1QObfIGtPQhM9,progressive rock,7.0
418XnO0cHLR1ZXyKIaddHJ,contemporary r&b,2.0
2RBIISV5Cp2gFT0O9QufJP,alternative metal,5.0
7wD13GCARDBaIWzBHshJ4K,underground hip hop,5.0
0DpXHxS8ASOi40rbwUdtKH,political hip hop,5.0
2Llvbp8D1b3rKYVJvANWdL,mellow gold,111.0
1jnEWaOasIloIAoC0asKNS,lounge,31.0
1kbgm3GvaJmvSeMK7rfHvc,sleaze rock,9.0
1BLAtWd4UcTp0A5skNuKkh,conscious hip hop,45.0
26FZxoD7BGj1KR8ozbyfIb,late romantic era,16.0
5aQbuqeLkbKlcji17bH6dz,rock-and-roll,25.0
6Mwf1j7Xu6iifxC74mW8Y8,cuarteto,1.0
7rkO4uBpWKcjuVpXbRbxKg,singer-songwriter,56.0
4VjTtDISbtFLGWUY1cf6kI,norwegian classical,2.0
7k7EB2BTOScLjEW4fIINRm,minneapolis sound,2.0
2DeB5ustOBFC4nhYU7Ga9J,nwobhm,3.0
2DsiSaEdzXQnSN8IsbWlCI,german rock,2.0
5FXlF4HnVM9XgGkkjuiAe4,dance rock,7.0
09bfJFHUgIDnd5ULCJygeM,southern rock,7.0
6bKoKp5EIh9emqaRDyYxrN,candy pop,2.0
2PLWqyYTB91sxabFhef9Tq,movie tunes,4.0
27dWMslBCUCcc3A4h55cVU,english baroque,1.0
1q6fuajmaLZ7Lf7kpJLKwj,east coast hip hop,49.0
6Z199kuGSVXBJnOtd7TYWy,anime latino,1.0
1i3iauknyzr2b49Zi5MjNJ,british modern classical,3.0
2MVf0YWtauptJ491Ki2Vzk,australian pop,8.0
4pOTobjF4QlfUk5Ru7Ogmg,contemporary jazz,2.0
4BP4uLFVmOLRUAXds8uakY,cumbia villera,1.0
4vJ3z6QiO6RHR8iFIv8XQN,deep jazz fusion,1.0
0Xie9aONxBer6wNNnVn6FC,australian dance,7.0
2R8Mu6Yj3gwAWJl01jpHiC,new jack swing,1.0
2qlrGNa8qJ6ldNYYkunZRP,big room,1.0
027eF9zF1wiPF6qqlIxfwR,permanent wave,54.0
41nXb8RhzcpLbMYdNCXpO5,italian baroque,1.0
3qeEWFP5G0KXAPecTG8xKU,quiet storm,33.0
76Z7mZS72ySi1ELtZ3P1e3,bouzouki,1.0
3hoftyFHCNXIhxkAsYAkLV,dance pop,67.0
15QSMm20nzlQLaDSjalRFx,broadway,7.0
5lGKfafVo6GsWRKGdz9uaj,north carolina roots,1.0
1ezq2BZlbYXickQ0TrLHtp,lgbtq+ hip hop,3.0
6oR23V06cNwe1zbkW5tsSh,punk,40.0
