songName,artistName,songID,artistID,year,disc,popularity,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Potato Salad,"Tyler, The Creator",1jzIJcHCXneHw7ojC6LXiF,4V8LLVI7PbaPR0K2TGSxFF,10,Potato Salad,71,"['hip hop', 'rap']",0.538,0.612,2,-6.02,0.424,0.308,0.0,0.213,0.684,168.197
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,4X5f3vT8MRuXF68pfjNte5,13ubrt8QOOCPljQ2FL1Kca,10,LONG.LIVE.A$AP (Deluxe Version),75,"['east coast hip hop', 'hip hop', 'rap']",0.853,0.693,1,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967
Thriller,Michael Jackson,3S2R0EVwBSAVMd5UMgKTL0,3fMbdgg4jU18AjLCKBhRSm,00,Thriller 25 Super Deluxe Edition,74,"['pop', 'r&b', 'soul']",0.773,0.859,11,-4.913,0.0747,0.0855,0.000187,0.914,0.813,118.459
Runaway,AURORA,1v1oIWf2Xgh54kIWuKsDf6,1WgXqy2Dd70QQOU7Ay074N,10,All My Demons Greeting Me As A Friend (Deluxe),78,"['art pop', 'norwegian pop']",0.422,0.302,11,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089
Cure For Me,AURORA,7kEva2rxsNMn07fyfZMRRn,1WgXqy2Dd70QQOU7Ay074N,20,Cure For Me,72,"['art pop', 'norwegian pop']",0.722,0.764,6,-5.86,0.0554,0.0933,1.82e-05,0.088,0.416,115.917
You Are So Beautiful,Joe Cocker,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,70,I Can Stand A Little Rain,67,"['blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",0.297,0.182,1,-10.944,0.0298,0.846,0.00267,0.134,0.092,83.391
Michael & Quincy,Nas,5MfCvL6jCTkxPCBQf3OkYH,20qISvAhX20dpIbOOzGK3q,20,King's Disease III,68,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",0.681,0.848,1,-4.222,0.305,0.012,0.0,0.147,0.288,93.334
Portal muzsika,Portal,10Ol3zGXIaQBpdou6bl0i7,0TIFhYOYA4nLaVMaWD5DfI,20,Portal muzsika,50,[],0.779,0.946,4,-9.735,0.0413,0.878,0.95,0.773,0.992,120.033
Tank!,SEATBELTS,2Wi5ubKr8zSk8L3CLemyS4,3U3zr5PCRa9ty74uN46iBa,90,COWBOY BEBOP (Original Motion Picture Soundtrack),61,[],0.401,0.902,0,-6.814,0.154,0.0296,0.918,0.614,0.58,137.363
Murder In My Mind,Kordhell,6qyS9qBy0mEk3qYaH8mPss,2W6WP4pHQTFlbr2z9S4n54,20,Murder In My Mind,88,['drift phonk'],0.712,0.972,10,-0.514,0.112,0.00547,7.06e-05,0.128,0.568,119.966
Music For a Sushi Restaurant,Harry Styles,5LYMamLv12UPbemOaTPyeV,6KImCVD70vtIoJWnq6nGn3,20,Harry's House,83,['pop'],0.72,0.715,11,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041
Miss You,southstar,4tRhRLBxIZ34Iw0eCuiC03,1GVuCyb4PlArufUZDUnRQi,20,Miss You,85,[],0.663,0.559,6,-12.876,0.0391,0.136,0.0894,0.108,0.296,145.007
Unholy (feat. Kim Petras),Sam Smith,3nqQXoyQOWXiESFLlDF1hG,2wY79sveU1sp5g7SokKOiI,20,Unholy (feat. Kim Petras),100,"['dance pop', 'pop', 'uk pop']",0.714,0.472,2,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121
Made You Look,Meghan Trainor,0QHEIqNKsMoOY5urbzN48u,6JL8zeS1NmiOftqZTRgdTz,20,Takin' It Back,92,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",0.838,0.525,10,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
